Case 1: (3,5) 14
Case 2: (100,2) 20097
Case 3: (2,2) 16
Case 4: (37,47) 292
Case 5: (12,15) 477
Case 6: (0,0) 199
Case 7: (0,0) 1999999
Case 8: (608711,542666) 549541
Case 9: (613083,703463) 12578423
Case 10: (409657,537686) 15688772
Case 11: (128880,422544) 5733925
Case 12: (530065,560869) 47588058
Case 13: (498744,490195) 375788618
Case 14: (570,285) 12705
Case 15: (486,499) 240657
Case 16: (541,461) 21388
Case 17: (336656,349831) 11356334
Case 18: (487372,501795) 7504173
Case 19: (520327,517489) 12539450
Case 20: (255079,590372) 4732857
Case 21: (414673,663729) 7995296
